rssi,timestamp,I_0,Q_0,I_1,Q_1,I_2,Q_2,I_3,Q_3,I_4,Q_4,I_5,Q_5,I_6,Q_6,I_7,Q_7,I_8,Q_8,I_9,Q_9,I_10,Q_10,I_11,Q_11,I_12,Q_12,I_13,Q_13,I_14,Q_14,I_15,Q_15,I_16,Q_16,I_17,Q_17,I_18,Q_18,I_19,Q_19,I_20,Q_20,I_21,Q_21,I_22,Q_22,I_23,Q_23,I_24,Q_24,I_25,Q_25,I_26,Q_26,I_27,Q_27,I_28,Q_28,I_29,Q_29,I_30,Q_30,I_31,Q_31,I_32,Q_32,I_33,Q_33,I_34,Q_34,I_35,Q_35,I_36,Q_36,I_37,Q_37,I_38,Q_38,I_39,Q_39,I_40,Q_40,I_41,Q_41,I_42,Q_42,I_43,Q_43,I_44,Q_44,I_45,Q_45,I_46,Q_46,I_47,Q_47,I_48,Q_48,I_49,Q_49,I_50,Q_50,I_51,Q_51,I_52,Q_52,I_53,Q_53,I_54,Q_54,I_55,Q_55,I_56,Q_56,I_57,Q_57,I_58,Q_58,I_59,Q_59,I_60,Q_60,I_61,Q_61,I_62,Q_62,I_63,Q_63
-61,318907805,124,-64,7,0,4,24,2,24,1,22,1,17,3,12,4,9,5,10,6,11,3,9,-1,8,-3,8,-2,7,-1,8,-1,7,-2,7,-4,7,-4,6,-6,3,-8,2,-9,2,-9,2,-10,2,-11,2,-11,2,-12,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5,-8,20,-8,21,-8,22,-8,23,-8,23,-8,24,-7,24,-8,25,-8,26,-7,27,-7,28,-7,28,-6,28,-6,29,-6,30,-3,29,-2,30,-2,31,0,30,2,29,4,27,5,28,6,29,5,28,3,28,2,27
-61,318912843,124,-64,7,0,19,6,14,6,13,5,14,4,14,2,13,0,12,1,12,3,10,4,7,4,7,3,7,4,6,6,6,8,6,8,4,7,2,7,1,8,-1,9,-3,8,-3,6,-5,6,-6,7,-8,9,-9,10,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,19,8,19,9,20,10,21,11,22,11,22,11,22,11,23,12,24,12,26,12,28,1-11,-21,-10,-21,-9,-22,-10,-21,-11,-18,-11,-16,-11,-14,-13,-12,-16,-11,-21,-11,-26,-10,-29,-11,-32,-10,-34,-9,-34,-11,-33,-13,-31,-13,-30,-13,-30,-15,-28,-15,-22,-12,-18,-6,-17,-1,-18,6,-16,14,-15,19
-65,408027288,111,-15,22,0,-30,11,-33,11,-32,9,-30,7,-28,5,-26,2,-21,-1,-17,-4,-14,-5,-10,-6,-3,-5,4,-2,6,-2,7,0,8,3,6,4,5,5,5,6,2,7,-1,6,-2,5,-4,4,-7,3,-8,0,-8,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-6,9,-21,10,-20,10,-19,9,-18,6,-18,4,-18,3,-19,-1,-19,-5,-20,-9,-22,-12,-24,-15,-28,-16,-30,-17,-31,-18,-32,-18,-33,-17,-32,-15,-29,-16,-26,-15,-24,-13,-21,-13,-16,-14,-11,-16,-6,-19,1,-21,6
-65,409367915,-68,-64,11,0,-27,-23,-29,-24,-28,-23,-24,-20,-23,-19,-24,-20,-23,-21,-24,-20,-24,-19,-22,-18,-21,-17,-22,-18,-22,-18,-21,-18,-20,-16,-18,-15,-16,-16,-16,-17,-16,-17,-15,-16,-13,-15,-12,-15,-12,-15,-10,-14,-9,-14,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-9,-5,-9,-6,-9,-6,-10,-7,-10,-8,-10,-9,-11,-10,-12,-11,-12,-11,-13,-12,-14,-12,-15,-13,-15,-14,-16,-15,-16,-16,-17,-17,-16,-16,-16,-15,-17,-17,-19,-18,-21,-18,-23,-20,-24,-20,-26,-19,-26,-20,-27,-21
-64,413055564,98,32,6,0,-27,17,-27,17,-26,14,-25,14,-27,15,-26,16,-24,16,-24,15,-23,13,-22,11,-22,12,-22,15,-22,14,-22,11,-21,10,-20,11,-20,10,-20,9,-19,8,-19,7,-18,6,-17,6,-17,6,-17,3,-16,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-6,6,-7,7,-8,7,-9,8,-10,8,-11,8,-11,8,-12,9,-13,9,-14,10,-15,10,-16,12,-16,14,-17,12,-18,11,-18,13,-18,15,-19,13,-21,13,-22,13,-22,14,-24,14,-24,16,-25,17,-26,18,-27,20
-65,413067668,-4,-64,15,0,-3,-35,-3,-36,-4,-33,-2,-31,-1,-30,-4,-29,-5,-28,-5,-28,-4,-28,-2,-27,-3,-26,-5,-25,-6,-25,-6,-26,-5,-25,-3,-24,-2,-22,-3,-20,-5,-20,-5,-19,-2,-19,0,-19,0,-18,0,-16,0,-14,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-2,-10,-1,-10,-1,-11,-1,-12,-1,-13,-1,-13,-1,-14,0,-15,0,-16,0,-18,1,-19,2,-20,1,-21,0,-21,0,-22,0,-23,1,-24,0,-24,-1,-25,0,-26,0,-29,0,-31,1,-31,0,-31,-1,-31,-1,-28
-62,417004425,-68,-64,11,0,14,-14,15,-13,13,-9,10,-8,10,-7,13,-6,13,-4,14,-4,15,-5,14,-5,14,-5,16,-5,16,-4,14,-3,15,-4,16,-4,16,-3,17,-2,18,-2,17,-2,16,-2,16,-2,17,-2,17,1,18,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,16,-11,17,-11,17,-12,17,-12,17,-12,18,-13,18,-13,18,-12,20,-13,20,-14,21,-13,24,-13,25,-13,23,-13,21,-13,17,-14,15,-15,16,-16,18,-18,16,-18,13,-18,15,-16,18,-13,15,-14,11,-14,12,-14
-47,417755367,112,1,23,0,23,-5,21,-6,19,-9,18,-11,18,-13,19,-14,19,-15,21,-16,21,-16,22,-15,21,-14,19,-13,18,-12,17,-12,16,-11,14,-12,12,-12,11,-13,11,-14,11,-15,12,-16,13,-15,14,-14,15,-12,15,-10,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,4,0,6,-1,8,-2,10,-3,13,-2,15,0,17,1,18,3,18,5,18,7,17,8,15,8,13,6,12,4,13,2,13,0,14,-3,16,-5,18,-7,21,-7,24,-8,26,-7,28,-6,29,-5,30,-4
-47,417772038,112,1,23,0,-19,15,-16,15,-14,16,-11,18,-11,20,-10,21,-10,22,-11,23,-12,23,-12,22,-12,21,-12,20,-12,19,-11,17,-10,16,-8,16,-6,16,-4,16,-4,16,-4,18,-4,19,-5,19,-7,18,-8,17,-9,15,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-5,0,-5,2,-6,4,-7,6,-9,7,-11,8,-13,8,-15,7,-18,6,-20,5,-20,4,-20,2,-18,1,-16,1,-14,2,-13,4,-12,6,-12,9,-12,12,-13,15,-15,17,-17,18,-20,19,-22,20,-23,19,-24,18
-47,417774812,112,1,23,0,15,-13,12,-14,10,-15,8,-17,7,-18,7,-18,7,-19,8,-20,8,-20,9,-20,8,-19,8,-18,8,-16,7,-15,6,-15,5,-14,3,-14,2,-14,0,-15,0,-15,1,-16,2,-17,2,-17,4,-16,5,-14,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,-2,4,-3,5,-5,7,-6,9,-6,11,-6,13,-5,14,-4,15,-3,16,-1,15,0,13,0,12,-1,10,-2,10,-3,9,-5,9,-8,9,-10,10,-13,12,-15,14,-16,16,-16,18,-16,19,-15,19,-14
